source_entry	source_target	site	instruction_events	register_trace_events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	frame_reg	frame_events	frame_pct	top_targets	top_deltas	byte_statuses
331	0xbcfc8	0xbd36a	157	0													340:125,196:25,99:3,222:1,168:1,333:1,146:1	+0x3:157	exact:157
88	0x8aa14	0x8b026	149	0													352:65,257:64,173:11,256:6,108:3	+0x5:149	exact:149
148	0x96b6e	0x96eb1	144	0													160:74,144:25,352:23,173:12,257:6,108:4	+0x5:144	exact:144
82	0x8920e	0x89478	142	0													99:67,333:65,217:4,307:2,168:2,157:1,18:1	+0x3:142	exact:142
145	0x95b5c	0x9634f	142	4	r12	4	100.0							rbp	4	100.0	354:132,165:6,171:4	+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2,+0x77:2,+0x74b:1,+0x288:1	prefix_32_of_313:125,prefix_32_of_3052:4,prefix_32_of_48:3,prefix_32_of_96:3,prefix_32_of_651:2,prefix_32_of_119:2,prefix_32_of_1867:1,prefix_32_of_648:1
129	0x92f21	0x931d0	139	2	r11	2	100.0	r14	2	100.0	r13	2	100.0	rbp	2	100.0	215:64,99:64,66:3,217:2,199:2,172:1,300:1,146:1	+0x3:139	exact:139
125	0x922c4	0x92612	129	0													316:96,334:9,246:6,18:4,75:3,114:3,210:3,145:2	+0x5:129	exact:129
117	0x90acd	0x90c21	122	1	rax	1	100.0	r10	1	100.0	rdx	1	100.0	rbp	1	100.0	354:71,165:48,171:3	-0x40:83,-0xbc1:9,-0x584:6,-0xbc0:6,-0x2ce:5,-0x55d:5,-0x767:4,+0x54:1	backedge_sample:119,prefix_32_of_84:1,prefix_32_of_34:1,prefix_32_of_85:1
62	0x84aa3	0x84e1b	120	2	rax	2	100.0	r11	2	100.0	rbx	2	100.0	rbp	2	100.0	157:93,307:13,347:3,200:2,253:2,66:1,297:1,28:1	+0x4:120	exact:120
302	0xb7586	0xb7699	109	4	r12	4	100.0	r10	4	100.0				rbp	4	100.0	171:70,165:35,354:4	-0x40:61,+0x22:25,-0x55d:9,-0x2ce:8,-0x24c:4,+0x55:2	backedge_sample:82,prefix_32_of_34:25,prefix_32_of_85:2
280	0xb2661	0xb2db4	108	0													257:66,160:12,108:10,198:8,173:7,256:5	+0x5:108	exact:108
321	0xbb1dd	0xcdac7	97	0													169:94,310:3	+0xd:97	exact:97
94	0x8bd69	0x8c41a	91	0													173:74,144:13,160:3,198:1	+0x5:91	exact:91
0	0x78561	0x78833	89	0													352:41,144:31,257:10,108:7	+0x5:89	exact:89
245	0xab141	0xab424	75	0													145:28,316:28,75:12,210:3,334:3,43:1	+0x5:75	exact:75
250	0xac802	0xacbc3	75	4	r15	4	100.0	r14	4	100.0	r10	4	100.0	rbp	4	100.0	43:71,196:3,157:1	+0x3:75	exact:75
326	0xbc06d	0xbc31d	70	0													108:57,352:13	+0x5:70	exact:70
131	0x937d0	0x93f76	66	0													144:31,173:15,108:10,160:4,352:2,198:2,257:2	+0x5:66	exact:66
102	0x8d71d	0x8df99	64	0													268:64	+0xd:64	exact:64
186	0x9dcae	0x9e07a	50	0													257:25,144:9,173:6,160:4,198:2,256:2,108:2	+0x5:50	exact:50
151	0x97311	0x97689	45	0													198:16,173:12,352:7,160:6,144:4	+0x5:45	exact:45
336	0xbe8cd	0xbec0b	44	0													256:12,173:8,108:8,352:7,144:5,198:4	+0x5:44	exact:44
334	0xbdd18	0xbe55b	42	1	rdx	1	100.0				rsi	1	100.0	rbp	1	100.0	354:33,171:5,165:4	+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1,+0x1fa:1,+0x28b:1,+0x791:1	prefix_32_of_677:25,prefix_32_of_648:2,prefix_32_of_48:2,prefix_32_of_47:2,prefix_32_of_525:1,prefix_32_of_506:1,prefix_32_of_651:1,prefix_32_of_1937:1
246	0xab427	0xabc56	39	1	r9	1	100.0				r13	1	100.0	rbp	1	100.0	165:31,354:6,171:2	+0x78:25,+0x792:3,+0x21a:2,+0x288:2,+0x28b:2,+0x23e:1,+0x724:1,+0x211:1	prefix_32_of_120:25,prefix_32_of_1938:3,prefix_32_of_538:2,prefix_32_of_648:2,prefix_32_of_651:2,prefix_32_of_574:1,prefix_32_of_1828:1,prefix_32_of_529:1
