section	offset	end	size	realsz	name	safe_name	kind	nbbs	ninstrs	edges	indegree	outdegree	nlocals	nargs	stackframe	noreturn	signature
.text	0x507cf0	0x507d03	19	19	method.std::time_get_byname_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507cf0_method_std_time_get_byname_wchar_t_std_istreambuf_iterator_wchar_t_std_c	native_discovered	1	4	1	0	0	0	1	0	0	method.std::time_get_byname_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
.text	0x507d10	0x507d30	32	32	method.std::moneypunct_byname_wchar_t__false_.virtual_8	native_stub_00507d10_method_std_moneypunct_byname_wchar_t_false_virtual_8	native_discovered	1	9	0	0	1	0	1	8	0	method.std::moneypunct_byname_wchar_t__false_.virtual_8 (int64_t arg1);
.text	0x507d30	0x507d50	32	32	method.std::moneypunct_byname_wchar_t__true_.virtual_8	native_stub_00507d30_method_std_moneypunct_byname_wchar_t_true_virtual_8	native_discovered	1	9	0	0	1	0	1	8	0	method.std::moneypunct_byname_wchar_t__true_.virtual_8 (int64_t arg1);
.text	0x507d50	0x507d70	32	32	method.std::money_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507d50_method_std_money_get_wchar_t_std_istreambuf_iterator_wchar_t_std_char_tr	native_discovered	1	9	0	0	1	0	1	8	0	method.std::money_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
.text	0x507d70	0x507d90	32	32	method.std::money_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507d70_method_std_money_put_wchar_t_std_ostreambuf_iterator_wchar_t_std_char_tr	native_discovered	1	9	0	0	1	0	1	8	0	method.std::money_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
.text	0x507d90	0x507da2	18	18	method.std::__numpunct_cache_wchar_t_.virtual_8	native_stub_00507d90_method_std_numpunct_cache_wchar_t_virtual_8	native_discovered	1	6	0	0	1	0	1	8	0	method.std::__numpunct_cache_wchar_t_.virtual_8 (int64_t arg1);
.text	0x507db0	0x507dd0	32	32	method.std::numpunct_byname_wchar_t_.virtual_8	native_stub_00507db0_method_std_numpunct_byname_wchar_t_virtual_8	native_discovered	1	9	0	0	1	0	1	8	0	method.std::numpunct_byname_wchar_t_.virtual_8 (int64_t arg1);
.text	0x507dd0	0x507df0	32	32	method.std::num_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507dd0_method_std_num_get_wchar_t_std_istreambuf_iterator_wchar_t_std_char_trai	native_discovered	1	9	0	0	1	0	1	8	0	method.std::num_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
.text	0x507df0	0x507e10	32	32	method.std::num_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507df0_method_std_num_put_wchar_t_std_ostreambuf_iterator_wchar_t_std_char_trai	native_discovered	1	9	0	0	1	0	1	8	0	method.std::num_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
.text	0x507e10	0x507e22	18	18	method.std::__timepunct_cache_wchar_t_.virtual_8	native_stub_00507e10_method_std_timepunct_cache_wchar_t_virtual_8	native_discovered	1	6	0	0	1	0	1	8	0	method.std::__timepunct_cache_wchar_t_.virtual_8 (int64_t arg1);
.text	0x507e30	0x507e50	32	32	method.std::time_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507e30_method_std_time_put_wchar_t_std_ostreambuf_iterator_wchar_t_std_char_tra	native_discovered	1	9	0	0	1	0	1	8	0	method.std::time_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
