rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
105	decoded_long_branch_sample	117->354:-0xbc0	15	3	1	1	117:3	354:3	-0xbc0:3	backedge_sample:3	tail@0x90c21:3	inside=81@0x36b124-0x36db0d+0x188d	0x36d571	0x36c9b1	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=3;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0xbc0
106	decoded_long_branch_sample	246->165:prefix_32_of_1938	15	3	1	1	246:3	165:3	+0x792:3	prefix_32_of_1938:3	tail@0xabc56:3	inside=74@0x33db28-0x33ea02+0xdb6	0x33e14c	0x33e8de	positive VM IP delta exceeds logged byte window; long_branch_events=3;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[165], ip += 0x792
107	decoded_long_branch_sample	266->171:-0x55d	15	3	1	1	266:3	171:3	-0x55d:3	backedge_sample:3	tail@0xafa1d:3	inside=69@0x334a3d-0x3369f2+0x472	0x33540c	0x334eaf	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=3;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x55d
108	decoded_long_branch_sample	266->354:-0x557	15	3	1	1	266:3	354:3	-0x557:3	backedge_sample:3	tail@0xafa1d:3	inside=63@0x30e872-0x316692+0x87c	0x30f645	0x30f0ee	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=3;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x557
109	decoded_long_branch_sample	302->165:-0x2ce	15	3	1	1	302:3	165:3	-0x2ce:3	backedge_sample:3	tail@0xb7699:3	inside=64@0x31aa27-0x31e23f+0x1187	0x31be7c	0x31bbae	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=3;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x2ce
110	decoded_long_branch_sample	308->171:-0x2ce	15	3	1	1	308:3	171:3	-0x2ce:3	backedge_sample:3	tail@0xb84a4:3	inside=76@0x3603af-0x364c68+0x117d	0x3617fa	0x36152c	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=3;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x2ce
111	sampled_operand_source	195	12	3	0	0	195:3	310@0xb8556:2,86@0x8a37f:1	-0x2306:1,-0x542a:1,-0x8c8e:1	sampled_operand_known:3	dispatch@0xc80b9:3				source_target=0x9fb50;unique_vm_ips=3;top_targets=310@0xb8556:2,86@0x8a37f:1;top_deltas=-0x2306:1,-0x542a:1,-0x8c8e:1;sampled_operand_events=3;sampled_operand_variants=3;sampled_operand_lens=0x6:3;sampled_operand_shapes=3=u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4;sampled_operand_top_ir=1=sampled operand footprint 0x6; observed target table[310], delta -0x542a,1=sampled operand footprint 0x6; observed target table[310], delta -0x8c8e,1=sampled operand footprint 0x6; observed target table[86], delta -0x2306
112	decoded_long_branch_sample	117->165:-0x2ce	10	2	1	1	117:2	165:2	-0x2ce:2	backedge_sample:2	tail@0x90c21:2	inside=75@0x33f278-0x34556c+0x30fe	0x342644	0x342376	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=2;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x2ce
113	decoded_long_branch_sample	266->165:-0x2ce	10	2	1	1	266:2	165:2	-0x2ce:2	backedge_sample:2	tail@0xafa1d:2	inside=82@0x36ecdc-0x371ff7+0xb44	0x36faee	0x36f820	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=2;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x2ce
114	decoded_long_branch_sample	266->354:-0x2ce	10	2	1	1	266:2	354:2	-0x2ce:2	backedge_sample:2	tail@0xafa1d:2	inside=75@0x33f278-0x34556c+0x184c	0x340d92	0x340ac4	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=2;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x2ce
115	decoded_long_branch_sample	308->171:-0x5b6	10	2	1	1	308:2	171:2	-0x5b6:2	backedge_sample:2	tail@0xb84a4:2	inside=76@0x3603af-0x364c68+0xa4e	0x3613b3	0x360dfd	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=2;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x5b6
116	decoded_long_branch_sample	308->354:-0x584	10	2	1	1	308:2	354:2	-0x584:2	backedge_sample:2	tail@0xb84a4:2	inside=75@0x33f278-0x34556c+0x2a01	0x3421fd	0x341c79	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=2;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x584
117	target_only_entry	5	10	0	0	0	5:0	0x79675:0		target_only:0					target=0x79675;frame_reads=0xa,0xbb,0x81,0x199,0x10f,0x170;frame_writes=0x1dc,0x170,0xa;ip_reads=+0x3/2,+0x0/2,+0x6/2,+0x4/2,+0x0/4,+0x5/2,+0x7/2;rets=1
118	target_only_entry	50	10	0	0	0	50:0	0x82e76:0		target_only:0					target=0x82e76;frame_reads=0xa,0xbb,0x50,0x170,0x23,0x199,0x10f;frame_writes=0x23,0x170,0x1dc,0xa;ip_reads=+0x7/4,+0x0/1,+0x1/1,+0x9/2,+0x2/2,+0x3/4,+0x2/1,+0xb/2,+0x0/2,+0x4/1,+0x5/2,+0x7/2;rets=1
119	target_only_entry	80	10	0	0	0	80:0	0x88a58:0		target_only:0					target=0x88a58;frame_reads=0xa,0xbb,0x23,0x50,0x0,0x60,0x194,0x81,0x71,0x10f,0x170;frame_writes=0x170,0x71,0x1dc,0x0,0x60,0xa;ip_reads=+0x7/4,+0x0/1,+0x1/1,+0x3/4,+0x2/1,+0xb/2,+0x4/1,+0x2/2,+0x0/2;rets=1
120	sampled_operand_known	95->86:prefix_32_of_144411	8	2	1	1	95:2	86:2	+0x2341b:2	prefix_32_of_144411:2	dispatch@0xc80b9:2	inside=47@0x26cd71-0x26cf3b+0x0	0x249956	0x26cd71	positive VM IP delta exceeds logged byte window; sampled_operand_events=2;operand_min_len=0xa;operand_shape=u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4,u16_6@+0x6,u32_6@+0x6;source_observations=exact:2;ir=sampled operand footprint 0xa; observed target table[86], delta +0x2341b
121	sampled_operand_source	299	8	2	0	0	299:2	169@0x9af18:1,310@0xb8556:1	-0x7fe6:1,-0xcf8b:1	sampled_operand_known:2	dispatch@0xc80b9:2				source_target=0xb6bba;unique_vm_ips=2;top_targets=169@0x9af18:1,310@0xb8556:1;top_deltas=-0x7fe6:1,-0xcf8b:1;sampled_operand_events=2;sampled_operand_variants=2;sampled_operand_lens=0x6:2;sampled_operand_shapes=2=u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4;sampled_operand_top_ir=1=sampled operand footprint 0x6; observed target table[169], delta -0x7fe6,1=sampled operand footprint 0x6; observed target table[310], delta -0xcf8b
122	decoded_long_branch_sample	117->354:-0x50d	5	1	1	1	117:1	354:1	-0x50d:1	backedge_sample:1	tail@0x90c21:1	inside=76@0x3603af-0x364c68+0x2266	0x362b22	0x362615	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=1;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x50d
123	decoded_long_branch_sample	145->165:prefix_32_of_1867	5	1	1	1	145:1	165:1	+0x74b:1	prefix_32_of_1867:1	tail@0x9634f:1	inside=71@0x337e84-0x339faf+0xf94	0x3386cd	0x338e18	positive VM IP delta exceeds logged byte window; long_branch_events=1;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[165], ip += 0x74b
