source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
2	0xd0d51-0xd0eab			out_of_recovered	4	1	256:4	302:4	+0x2:4	exact:4
56	0x11de27-0x11de39	56	0x11de27-0x11de39	intra_block	4	4	157:1,258:1,185:1,3:1	258:1,185:1,3:1,256:1	+0x4:2,+0x3:1,+0x5:1	exact:4
186	0x26cd71-0x26cf1b			out_of_recovered	4	1	242:4	145:4	+0x5:4	exact:4
187	0x26db07-0x26f077			out_of_recovered	4	1	161:4	195:4	+0x4:4	exact:4
214	0x30eeea-0x30f3c5			out_of_recovered	4	1	122:4	316:4	+0x5:4	exact:4
227	0x31ba3d-0x31bbf9			out_of_recovered	4	1	122:4	145:4	+0x5:4	exact:4
234	0x31c7a7-0x31c963			out_of_recovered	4	1	122:4	210:4	+0x5:4	exact:4
252	0x31e749-0x31e75d	252	0x31e749-0x31e75d	intra_block	4	4	196:1,253:1,297:1,79:1	253:1,297:1,79:1,198:1	+0x4:1,+0x6:1,+0x3:1,+0x5:1	exact:4
263	0x331e8e-0x3320fd			out_of_recovered	4	1	256:4	117:4	+0x2:4	exact:4
279	0x334cab-0x33518c			out_of_recovered	4	1	122:4	75:4	+0x5:4	exact:4
289	0x3386de-0x3387d9			out_of_recovered	4	1	158:4	69:4	+0x4:4	exact:4
290	0x3387ea-0x338e10			out_of_recovered	4	1	257:4	266:4	+0x2:4	exact:4
305	0x33bea5-0x33c5b0			out_of_recovered	4	1	173:4	117:4	+0x2:4	exact:4
331	0x34143d-0x3416ac			out_of_recovered	4	1	257:4	266:4	+0x2:4	exact:4
341	0x342cef-0x342f5e			out_of_recovered	4	1	173:4	308:4	+0x2:4	exact:4
351	0x3613bb-0x361577			out_of_recovered	4	1	52:4	246:4	+0x5:4	exact:4
355	0x362b2a-0x362ce6			out_of_recovered	4	1	52:4	334:4	+0x5:4	exact:4
372	0x367e96-0x368052			out_of_recovered	4	1	52:4	75:4	+0x5:4	exact:4
381	0x368e58-0x36906d			out_of_recovered	4	1	174:4	216:4	+0x4:4	exact:4
382	0x36907b-0x369275			out_of_recovered	4	1	174:4	321:4	+0x4:4	exact:4
383	0x369286-0x369397			out_of_recovered	4	1	125:4	246:4	+0x5:4	exact:4
404	0x36c8aa-0x36cabe			out_of_recovered	4	1	174:4	216:4	+0x4:4	exact:4
405	0x36cacc-0x36ccc6			out_of_recovered	4	1	174:4	50:4	+0x4:4	exact:4
406	0x36ccd7-0x36cde8			out_of_recovered	4	1	125:4	334:4	+0x5:4	exact:4
195	0x2935eb-0x2935fd	195	0x2935eb-0x2935fd	intra_block	3	3	64:1,253:1,28:1	253:1,28:1,52:1	+0x4:1,+0x6:1,+0x3:1	exact:3
196	0x29360e-0x293620	196	0x29360e-0x293620	intra_block	3	3	140:1,347:1,28:1	347:1,28:1,52:1	+0x6:1,+0x4:1,+0x3:1	exact:3
197	0x293630-0x293643	197	0x293630-0x293643	intra_block	3	3	268:1,239:1,64:1	239:1,64:1,52:1	+0x4:2,+0x6:1	exact:3
198	0x293654-0x293666	198	0x293654-0x293666	intra_block	3	3	199:1,172:1,124:1	172:1,124:1,52:1	+0x3:1,+0x4:1,+0x6:1	exact:3
199	0x293677-0x293689	199	0x293677-0x293689	intra_block	3	3	345:1,297:1,64:1	297:1,64:1,122:1	+0x6:1,+0x3:1,+0x4:1	exact:3
215	0x30f3d6-0x30f645			out_of_recovered	3	1	144:3	266:3	+0x2:3	exact:3
228	0x31bc0a-0x31be7c			out_of_recovered	3	1	160:3	302:3	+0x2:3	exact:3
235	0x31c974-0x31cbe6			out_of_recovered	3	1	173:3	117:3	+0x2:3	exact:3
280	0x33519c-0x33540c			out_of_recovered	3	1	108:3	266:3	+0x2:3	exact:3
281	0x335414-0x3355d0			out_of_recovered	3	1	122:3	210:3	+0x5:3	exact:3
308	0x33db28-0x33dcbd			out_of_recovered	3	1	52:3	210:3	+0x5:3	exact:3
317	0x33e8de-0x33e9e2			out_of_recovered	3	1	20:3	299:3	+0x4:3	exact:3
324	0x3401c3-0x3406cb			out_of_recovered	3	1	122:3	316:3	+0x5:3	exact:3
326	0x340953-0x340b0f			out_of_recovered	3	1	52:3	210:3	+0x5:3	exact:3
334	0x341a75-0x341f7d			out_of_recovered	3	1	52:3	246:3	+0x5:3	exact:3
336	0x342205-0x3423c1			out_of_recovered	3	1	52:3	246:3	+0x5:3	exact:3
342	0x342f66-0x343122			out_of_recovered	3	1	52:3	75:3	+0x5:3	exact:3
349	0x3603af-0x361133			out_of_recovered	3	1	52:3	75:3	+0x5:3	exact:3
352	0x361587-0x3617fa			out_of_recovered	3	1	160:3	308:3	+0x2:3	exact:3
356	0x362cf7-0x362f69			out_of_recovered	3	1	144:3	302:3	+0x2:3	exact:3
373	0x368063-0x3682d5			out_of_recovered	3	1	108:3	308:3	+0x2:3	exact:3
384	0x3693a8-0x369525			out_of_recovered	3	1	174:3	356:3	+0x4:3	exact:3
385	0x369533-0x36977c			out_of_recovered	3	1	174:3	278:3	+0x4:3	exact:3
386	0x36978a-0x369951			out_of_recovered	3	1	176:3	69:3	+0x4:3	exact:3
387	0x369962-0x369a73			out_of_recovered	3	1	242:3	145:3	+0x5:3	exact:3
388	0x369ad3-0x369b20			out_of_recovered	3	1	257:3	117:3	+0x2:3	exact:3
407	0x36cdf9-0x36cf76			out_of_recovered	3	1	184:3	356:3	+0x4:3	exact:3
408	0x36cf84-0x36d1cd			out_of_recovered	3	1	161:3	216:3	+0x4:3	exact:3
409	0x36d1db-0x36d3a2			out_of_recovered	3	1	20:3	80:3	+0x4:3	exact:3
410	0x36d3b3-0x36d4c4			out_of_recovered	3	1	125:3	210:3	+0x5:3	exact:3
411	0x36d524-0x36d571			out_of_recovered	3	1	256:3	117:3	+0x2:3	exact:3
419	0x36f6af-0x36f86b			out_of_recovered	3	1	52:3	145:3	+0x5:3	exact:3
170	0x249468-0x24972b			out_of_recovered	2	1	184:2	264:2	+0x4:2	exact:2
171	0x249739-0x249956			out_of_recovered	2	1	20:2	95:2	+0x4:2	exact:2
172	0x249964-0x249b99			out_of_recovered	2	1	176:2	278:2	+0x4:2	exact:2
173	0x249ba7-0x249ddc			out_of_recovered	2	1	176:2	95:2	+0x4:2	exact:2
174	0x249dea-0x24a01f			out_of_recovered	2	1	174:2	95:2	+0x4:2	exact:2
175	0x24a02d-0x24a292			out_of_recovered	2	1	184:2	95:2	+0x4:2	exact:2
176	0x24a2a0-0x24a4d5			out_of_recovered	2	1	176:2	311:2	+0x4:2	exact:2
177	0x24a4e3-0x24a8c5			out_of_recovered	2	1	184:2	216:2	+0x4:2	exact:2
178	0x24a8d3-0x24ab6a			out_of_recovered	2	1	161:2	95:2	+0x4:2	exact:2
179	0x24ab78-0x24ae0f			out_of_recovered	2	1	123:2	216:2	+0x4:2	exact:2
180	0x24ae1d-0x24b052			out_of_recovered	2	1	174:2	356:2	+0x4:2	exact:2
181	0x24b060-0x24b39b			out_of_recovered	2	1	184:2	278:2	+0x4:2	exact:2
182	0x24b3a9-0x24b640			out_of_recovered	2	1	123:2	95:2	+0x4:2	exact:2
183	0x24b64e-0x24b883			out_of_recovered	2	1	176:2	278:2	+0x4:2	exact:2
184	0x24b891-0x24bb69			out_of_recovered	2	1	174:2	95:2	+0x4:2	exact:2
185	0x24bb77-0x24bd2a			out_of_recovered	2	1	20:2	299:2	+0x4:2	exact:2
190	0x292df6-0x293001			out_of_recovered	2	1	158:2	264:2	+0x4:2	exact:2
191	0x29300f-0x293222			out_of_recovered	2	1	123:2	78:2	+0x4:2	exact:2
192	0x293233-0x293344			out_of_recovered	2	1	125:2	334:2	+0x5:2	exact:2
225	0x31b34b-0x31b82c			out_of_recovered	2	1	122:2	75:2	+0x5:2	exact:2
231	0x31c035-0x31c33a			out_of_recovered	2	1	176:2	69:2	+0x4:2	exact:2
232	0x31c34b-0x31c596			out_of_recovered	2	1	52:2	210:2	+0x5:2	exact:2
282	0x3355e0-0x335853			out_of_recovered	2	1	256:2	308:2	+0x2:2	exact:2
320	0x33f710-0x33fbf1			out_of_recovered	2	1	52:2	246:2	+0x5:2	exact:2
325	0x3406dc-0x34094b			out_of_recovered	2	1	160:2	117:2	+0x2:2	exact:2
327	0x340b20-0x340d92			out_of_recovered	2	1	257:2	266:2	+0x2:2	exact:2
335	0x341f8e-0x3421fd			out_of_recovered	2	1	144:2	308:2	+0x2:2	exact:2
337	0x3423d2-0x342644			out_of_recovered	2	1	144:2	117:2	+0x2:2	exact:2
343	0x343132-0x3433a5			out_of_recovered	2	1	160:2	302:2	+0x2:2	exact:2
