rank	offset	end	bytes	semantic_covered_bytes	semantic_uncovered_bytes	coverage_x100	kind	name	nbbs	ninstrs	outdegree	priority_class	next_action	selected_range
2718	0x2a9d7	0x2a9d8	1	0	1	0	r2_discovered	fcn.0002a9d7	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x2a9d7-0x2a9d8
2719	0x2a9d8	0x2a9d9	1	0	1	0	r2_discovered	fcn.0002a9d8	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x2a9d8-0x2a9d9
2720	0x2a9d9	0x2a9da	1	0	1	0	r2_discovered	fcn.0002a9d9	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x2a9d9-0x2a9da
2721	0x2a9da	0x2a9db	1	0	1	0	r2_discovered	fcn.0002a9da	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x2a9da-0x2a9db
2722	0x2a9db	0x2a9dc	1	0	1	0	r2_discovered	fcn.0002a9db	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x2a9db-0x2a9dc
2723	0x2a9dc	0x2a9dd	1	0	1	0	r2_discovered	fcn.0002a9dc	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x2a9dc-0x2a9dd
2724	0x2a9dd	0x2a9de	1	0	1	0	r2_discovered	fcn.0002a9dd	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x2a9dd-0x2a9de
2725	0x59e46	0x59e47	1	0	1	0	r2_discovered	fcn.00059e46	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x59e46-0x59e47
2726	0x67c0c	0x67c0d	1	0	1	0	r2_discovered	fcn.00067c0c	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x67c0c-0x67c0d
2727	0x48a14c	0x48a14d	1	0	1	0	r2_discovered	fcn.0048a14c	1	1	0	tier0_small_native_gap	targeted_retdec_single_function	0x48a14c-0x48a14d
