program	start_vm_ip	end_vm_ip	source_block	row_kind	source_entry	opcode_name	bytes	state_kind	dispatch_slot_kind	target_entry	target	delta	semantic_ir
000	0xd0bed	0xd0bef	0@0xd0ac0-0xd144b+0x12d	exact_instruction	198	vmop_198_plus0x2_state_add_const_slot_mba_stateful	b934	state_add_const	slot_mba_stateful	333	333@0xbd8af:1	+0x2	next = 333@0xbd8af:1, ip += +0x2; dispatch_model=static_100; state=state_add_const
000	0xd0bef	0xd0bf3	0@0xd0ac0-0xd144b+0x12f	exact_instruction	333	vmop_333_plus0x4_state_add_const_slot_multi_path	bbd42301	state_add_const	slot_multi_path	154	154@0x97ce6:1	+0x4	next = 154@0x97ce6:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bf3	0xd0bf7	0@0xd0ac0-0xd144b+0x133	exact_instruction	154	vmop_154_plus0x4_state_add_const_slot_multi_path	8312d3d4	state_add_const	slot_multi_path	297	297@0xb64d7:1	+0x4	next = 297@0xb64d7:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bf7	0xd0bfa	0@0xd0ac0-0xd144b+0x137	exact_instruction	297	vmop_297_plus0x3_state_add_const_slot_multi_path	1df29e	state_add_const	slot_multi_path	114	114@0x90319:1	+0x3	next = 114@0x90319:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0bfa	0xd0bfe	0@0xd0ac0-0xd144b+0x13a	exact_instruction	114	vmop_114_plus0x4_state_add_const_slot_multi_path	1c75cbbb	state_add_const	slot_multi_path	220	220@0xa522e:1	+0x4	next = 220@0xa522e:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bfe	0xd0c03	0@0xd0ac0-0xd144b+0x13e	exact_instruction	220	vmop_220_plus0x5_state_add_const_slot_multi_path	003d01d3f8	state_add_const	slot_multi_path	160	160@0x994cf:1	+0x5	next = 160@0x994cf:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
000	0xd0c03	0xd0c05	0@0xd0ac0-0xd144b+0x143	exact_instruction	160	vmop_160_plus0x2_state_const_post_slot_multi_path	e82b	state_const_post	slot_multi_path	43	43@0x8173d:1	+0x2	next = 43@0x8173d:1, ip += +0x2; dispatch_model=static_100; state=state_const_post
000	0xd0c05	0xd0c09	0@0xd0ac0-0xd144b+0x145	exact_instruction	43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	7df5b18b	state_add_const	slot_mba_stateful	350	350@0xc1926:1	+0x4	next = 350@0xc1926:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0c09	0xd0c0d	0@0xd0ac0-0xd144b+0x149	exact_instruction	350	vmop_350_plus0x4_state_add_const_slot_mba_stateful	b9e26c36	state_add_const	slot_mba_stateful	347	347@0xc088d:1	+0x4	next = 347@0xc088d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0c0d	0xd0c11	0@0xd0ac0-0xd144b+0x14d	exact_instruction	347	vmop_347_plus0x4_state_add_const_slot_multi_path	2e89ec20	state_add_const	slot_multi_path	18	18@0x7be9b:1	+0x4	next = 18@0x7be9b:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
