source_entry	source_target	kind	site	target_entry	target	count	unique_vm_ips	frames	top_ip_deltas
340	0xbf435	tail	0xbf886	185	0x9d964	240	49	1	+0x4:240
307	0xb8064	tail	0xb837a	168	0x9aa83	239	39	1	+0x3:239
347	0xc088d	tail	0xc0d7b	161	0x9975a	237	30	1	+0x4:237
307	0xb8064	tail	0xb837a	184	0x9d694	237	40	1	+0x3:237
307	0xb8064	tail	0xb837a	347	0xc088d	234	52	1	+0x3:234
66	0x855ff	tail	0x859f9	114	0x90319	234	60	1	+0x3:234
340	0xbf435	tail	0xbf886	333	0xbd8af	233	34	1	+0x4:233
340	0xbf435	tail	0xbf886	297	0xb64d7	233	59	1	+0x4:233
297	0xb64d7	tail	0xb68ff	268	0xb0007	231	24	1	+0x3:231
18	0x7be9b	tail	0x7c308	340	0xbf435	230	57	1	+0x3:230
64	0x85059	tail	0x8536e	307	0xb8064	229	60	1	+0x4:229
160	0x994cf	tail	0x99757	64	0x85059	227	17	1	+0x2:227
297	0xb64d7	tail	0xb68ff	174	0x9bd8f	227	32	1	+0x3:227
185	0x9d964	tail	0x9dcab	123	0x91a59	226	33	1	+0x3:226
28	0x7e390	tail	0x7e7ca	174	0x9bd8f	224	39	1	+0x3:224
189	0x9e7af	tail	0x9eac9	174	0x9bd8f	223	36	1	+0x4:223
114	0x90319	tail	0x90893	28	0x7e390	223	62	1	+0x4:223
