source_entry	source_target	key_delta	key_status	key_bytes	class	events	unique_start_ips	unique_pre_states	unique_post_states	unique_state_add	unique_state_xor	top_state_add	top_state_xor	top_pre_states	top_post_states	top_flag_add	top_flag_xor	top_byte_add	top_byte_xor	top_targets	top_sites	top_deltas	byte_statuses	top_bytes
171	0x9b4b3	+0x2	exact	4201	state_const_post	256	1	2	1	2	2	-0x79a30258:255,-0x573b8fd8:1	0x79a30258:255,0x573b8fd8:1	0x79a30258:255,0x573b8fd8:1	0x0:256	-0x2d52bb94:255,+0x4af6ee8b:1	0x2d52bb94:255,0xb5091175:1	+0x0:256	0x0:256	322@0xbb3c9:256	tail@0x9b687:256	+0x2:256	exact:256	4201:256
172	0x9b68a	+0x4	exact	3ea0d30a	state_add_const	256	1	1	1	1	1	+0x2623ad13:256	0x2a64b313:256	0x573b8fe0:256	0x7d5f3cf3:256	-0x1fc35f40:256	0xe04560c0:256	+0x0:256	0x0:256	28@0x7e390:256	tail@0x9ba72:256	+0x4:256	exact:256	3ea0d30a:256
185	0x9d964	+0x3	exact	8b2862	state_add_const	256	1	1	1	1	1	-0x1cbdd6dd:256	0xe3422b23:256	0x1c8:256	0xe3422aeb:256	-0x6d467865:256	0xafca8be5:256	+0x28:256	0x58:256	332@0xbd36d:256	tail@0x9dcab:256	+0x3:256	exact:256	8b2862:256
199	0xa0631	+0x3	exact	86c159	state_add_const	256	1	1	1	1	1	+0x4f528846:256	0x4f52884a:256	0x1a3:256	0x4f5289e9:256	+0x113b31c2:256	0x13cb3246:256	+0xd8:256	0x58:256	127@0x926c3:256	tail@0xa0a9c:256	+0x3:256	exact:256	86c159:256
203	0xa1484	+0x4	exact	a7993fba	state_add_const	256	1	1	1	1	1	-0x713bd5bc:256	0x713fd5bc:256	0x71fdd5bc:256	0xc20000:256	+0xb171ba6:256	0xf69247a:256	+0x0:256	0x0:256	52@0x833c7:256	tail@0xa1936:256	+0x4:256	exact:256	a7993fba:256
215	0xa4609	+0x3	exact	6809c8	state_add_const	256	1	1	1	1	1	-0x51114f81:256	0xaeeeb08f:256	0x50100618:256	0xfefeb697:256	+0x1d05ffae:256	0x7f1a00f2:256	+0x0:255,+0xea:1	0x0:255,0x6a:1	301@0xb708d:256	tail@0xa4a5e:256	+0x3:256	exact:256	6809c8:256
237	0xa8e1f	+0x5	exact	00666d3d01	state_add_const	256	1	1	1	1	1	-0x76428ed4:256	0x99bd73fc:256	0x48020568:256	0xd1bf7694:256	+0x39fdaa53:256	0x5e0eaa57:256	+0x0:256	0x0:256	352@0xc1ec4:256	tail@0xa94a3:256	+0x5:256	exact:256	00666d3d01:256
253	0xacfb1	+0x6	exact	46c134a10408	state_add_const	256	1	1	1	1	1	-0x9e09c64:256	0x9e1ec64:256	0x7dfb47ef:256	0x741aab8b:256	+0xc360330:256	0x1c3e0350:256	+0x0:256	0x0:256	297@0xb64d7:256	tail@0xad329:256	+0x6:256	exact:256	46c134a10408:256
258	0xadf2c	+0x4	exact	24d2f189	state_add_const	256	1	1	1	1	1	+0x1fbd0100:256	0x60470100:256	0x20450010:256	0x40020110:256	-0x6cf62cd6:256	0xb316332a:256	+0x0:256	0x0:256	43@0x8173d:256	tail@0xae32f:256	+0x4:256	exact:256	24d2f189:256
258	0xadf2c	+0x4	exact	afabd64f	state_add_const	256	1	1	1	1	1	+0x4803d328:256	0xb7fc3728:256	0xfffe3240:256	0x48020568:256	-0x4c77a456:256	0xb388afaa:256	+0x0:256	0x0:256	237@0xa8e1f:256	tail@0xae32f:256	+0x4:256	exact:256	afabd64f:256
