source_entry	source_target	events	unique_targets	best_class	best_formula	matched_events	coverage_pct	top_targets
153	0x979ab	10	2	state_expr	(u16_1-post)&0x7ff	5	50.0	0x480:5,0x568:5
65	0x85371	9	7	state_expr	(u16_2-post)&0x1ff	2	22.2	0x638:2,0x158:2,0x6b8:1,0xe0:1,0x200:1,0xa68:1,0x778:1
56	0x83e76	6	2	constant_target	constant:0x360	4	66.7	0x360:4,0x500:2
357	0xc29cf	6	2	constant_target	constant:0xb00	3	50.0	0xb00:3,0x480:3
13	0x7aee8	5	2	constant_target	constant:0x800	4	80.0	0x800:4,0x808:1
187	0x9e07d	5	1	constant_target	constant:0x568	5	100.0	0x568:5
240	0xa9cf7	5	1	constant_target	constant:0x568	5	100.0	0x568:5
331	0xbcfc8	5	3	constant_target	constant:0x318	3	60.0	0x318:3,0x6f0:1,0x540:1
36	0x800a1	4	1	constant_target	constant:0x360	4	100.0	0x360:4
86	0x8a37f	4	1	other_expr	(u16_0&0x1ff)*8	4	100.0	0x9b0:4
130	0x931d3	4	1	constant_target	constant:0x480	4	100.0	0x480:4
214	0xa3fe9	4	1	constant_target	constant:0x808	4	100.0	0x808:4
221	0xa5889	4	1	constant_target	constant:0x800	4	100.0	0x800:4
231	0xa799b	4	1	constant_target	constant:0x630	4	100.0	0x630:4
267	0xafa1f	4	1	constant_target	constant:0x480	4	100.0	0x480:4
313	0xb8b42	4	1	constant_target	constant:0xb00	4	100.0	0xb00:4
359	0xc3406	4	1	constant_target	constant:0x360	4	100.0	0x360:4
42	0x815ea	3	2	other_expr	(u16_2&0x1ff)*8	3	100.0	0x548:2,0x9b0:1
31	0x7ecd2	2	1	constant_target	constant:0xb00	2	100.0	0xb00:2
136	0x9461b	2	1	constant_target	constant:0x630	2	100.0	0x630:2
35	0x7fd4d	1	1	other_expr	(u16_2&0x1ff)*8	1	100.0	0x800:1
54	0x837cb	1	1	constant_target	constant:0x800	1	100.0	0x800:1
78	0x883c0	1	1	constant_target	constant:0x9b0	1	100.0	0x9b0:1
85	0x89b37	1	1	constant_target	constant:0x200	1	100.0	0x200:1
101	0x8ceb4	1	1	constant_target	constant:0x638	1	100.0	0x638:1
209	0xa2935	1	1	other_expr	(u16_3&0x1ff)*8	1	100.0	0x808:1
241	0xa9ffa	1	1	constant_target	constant:0xa68	1	100.0	0xa68:1
284	0xb379b	1	1	constant_target	constant:0x778	1	100.0	0x778:1
285	0xb3ff4	1	1	constant_target	constant:0x500	1	100.0	0x500:1
314	0xb8fcf	1	1	constant_target	constant:0x5e8	1	100.0	0x5e8:1
323	0xbb6e6	1	1	other_expr	(u16_0&0x1ff)*8	1	100.0	0x9b0:1
