kind	site	source_entries	target_entry	target	count	unique_vm_ips
tail	0x8536e	64	243	0xaab6a	185	17
tail	0x9c08c	174	185	0x9d964	184	24
tail	0xbf126	337	176	0x9c10b	183	34
tail	0x9d961	184	64	0x85059	182	28
tail	0x792f5	3	173	0x9ba74	182	24
tail	0xae32f	258	168	0x9aa83	181	40
tail	0x9eac9	189	199	0xa0631	181	59
tail	0xbf886	340	20	0x7c62b	180	32
tail	0xb0458	268	185	0x9d964	180	27
tail	0x81b7c	43	287	0xb45d2	180	26
tail	0xa4a5e	215	157	0x98a9a	179	25
tail	0xb092e	269	108	0x8f24b	178	43
tail	0x81b7c	43	66	0x855ff	177	29
tail	0xbdd16	333	337	0xbec0e	177	33
tail	0xbf886	340	158	0x99029	177	27
tail	0x99b3a	161	347	0xc088d	176	23
tail	0xbf2d3	338	283	0xb3612	175	32
tail	0xa0a9c	199	161	0x9975a	175	24
tail	0x9f779	192	108	0x8f24b	175	18
tail	0xb68ff	297	189	0x9e7af	174	50
tail	0x9c08c	174	189	0x9e7af	173	28
tail	0xae32f	258	123	0x91a59	173	22
tail	0x9ba72	172	305	0xb78b0	173	17
tail	0x99b3a	161	215	0xa4609	173	19
tail	0x9c08c	174	64	0x85059	172	26
tail	0xb497e	287	172	0x9b68a	172	18
tail	0x7c308	18	157	0x98a9a	172	34
tail	0xbf886	340	157	0x98a9a	171	37
tail	0x9dcab	185	189	0x9e7af	171	58
tail	0x91e7f	123	199	0xa0631	171	27
tail	0xb0458	268	64	0x85059	171	25
tail	0xbf126	337	168	0x9aa83	170	24
tail	0x992ca	158	18	0x7be9b	170	26
tail	0x7c308	18	64	0x85059	169	57
tail	0x9ba72	172	66	0x855ff	169	31
tail	0xc0d7b	347	66	0x855ff	167	56
tail	0xa4a5e	215	268	0xb0007	166	25
tail	0x90893	113,114	43	0x8173d	166	30
tail	0x9ba72	172	114	0x90319	166	32
tail	0x9eac9	189	315	0xb9451	165	29
tail	0xb0458	268	189	0x9e7af	165	29
tail	0xa4a5e	215	161	0x9975a	165	25
tail	0x9dcab	185	340	0xbf435	165	58
