entry	target	tail_site	tail_reg	tail_distance	target_hits	tail_site_hits	observed_target
349	0xc140b	0xc1923	r13	0x518	366	366	1
350	0xc1926	0xc1d46	rdi	0x420	1176	1176	1
351	0xc1d48	0xc1ec2	rsi	0x17a	542	542	1
352	0xc1ec4	0xc21c0	r10	0x2fc	1775	1775	1
353	0xc21c3	0xc240d	rdx	0x24a	0	334	0
354	0xc2241	0xc240d	rdx	0x1cc	334	334	1
355	0xc240f	0xc2917	r9	0x508	0	0	0
356	0xc291a	0xc2d35	rbx	0x41b	131	6	1
357	0xc29cf	0xc2d35	rbx	0x366	6	6	1
358	0xc2d37	0xc3403	r13	0x6cc	0	0	0
359	0xc3406	0xc3716	rbx	0x310	4	4	1
